cod_manzana,municipio,dist_salud_m,score_salud,dist_educ_m,score_educacion,dist_via_m,score_via,dist_finca_m,en_finca,score_economia
0514710000000000020223,Carepa,1485.0,0.5,567.0,0.8,1460.0,0.45,1829.0,0,0.35
0514710000000000020424,Carepa,322.0,0.85,344.0,0.8,415.0,0.7,1625.0,0,0.35
0514710000000000030201,Carepa,590.0,0.7,269.0,1.0,110.0,0.9,1448.0,0,0.35
0514720010700700010107,Carepa,6229.0,0.05,2405.0,0.35,5033.0,0.2,554.0,0,0.55
0514720010700700010120,Carepa,6276.0,0.05,2378.0,0.35,5069.0,0.2,382.0,0,0.55
0514720011001000010134,Carepa,4277.0,0.25,631.0,0.8,404.0,0.7,1693.0,0,0.35
0517210000000000010506,Chigorodó,9860.0,0.05,133.0,1.0,717.0,0.7,1758.0,0,0.35
0517210000000000020328,Chigorodó,9791.0,0.05,143.0,1.0,111.0,0.9,1912.0,0,0.35
0517210000000000020331,Chigorodó,9931.0,0.05,95.0,1.0,246.0,0.9,1821.0,0,0.35
0517210000000000040104,Chigorodó,9279.0,0.05,92.0,1.0,128.0,0.9,1995.0,0,0.35
0517210000000000060201,Chigorodó,10064.0,0.05,92.0,1.0,95.0,1.0,1855.0,0,0.35
0549020030200400010103,Necoclí,14435.0,0.05,14435.0,0.05,64489.0,0.05,63025.0,0,0.15
0549020030200400010112,Necoclí,14462.0,0.05,14462.0,0.05,64296.0,0.05,62857.0,0,0.15
0565910000000000010127,San Juan de Urabá,849.0,0.7,849.0,0.6,71984.0,0.05,72929.0,0,0.15
0566510000000000020120,San Pedro de Urabá,613.0,0.7,610.0,0.8,29284.0,0.05,38809.0,0,0.15
0504520020300900010312,Apartadó,5472.0,0.05,822.0,0.6,367.0,0.7,1329.0,0,0.35
0504520010301100010219,Apartadó,1599.0,0.5,468.0,0.8,286.0,0.9,455.0,0,0.55
0505110000000000010530,Arboletes,710.0,0.7,1047.0,0.6,84470.0,0.05,86980.0,0,0.15
0514710000000000010707,Carepa,719.0,0.7,104.0,1.0,613.0,0.7,1360.0,0,0.35
0514710000000000010128,Carepa,811.0,0.7,270.0,1.0,158.0,0.9,1194.0,0,0.35
0514710000000000030618,Carepa,524.0,0.7,373.0,0.8,550.0,0.7,2210.0,0,0.35
0517220070300300010104,Chigorodó,20720.0,0.05,862.0,0.6,7167.0,0.2,8118.0,0,0.15
0517220100400700010114,Chigorodó,22578.0,0.05,262.0,1.0,6572.0,0.2,14207.0,0,0.15
0549010000000000010701,Necoclí,38244.0,0.05,339.0,0.8,38504.0,0.05,34624.0,0,0.15
0549020120600100010421,Necoclí,25916.0,0.05,229.0,1.0,26191.0,0.05,22271.0,0,0.15
0549020120300300010140,Necoclí,32857.0,0.05,105.0,1.0,34051.0,0.05,32777.0,0,0.15
0549020120100700010105,Necoclí,35208.0,0.05,1643.0,0.35,35480.0,0.05,31566.0,0,0.15
0549020090501500010120,Necoclí,28540.0,0.05,29.0,1.0,38504.0,0.05,40623.0,0,0.15
0566510000000000010115,San Pedro de Urabá,492.0,0.85,108.0,1.0,30035.0,0.05,39560.0,0,0.15
0566510000000000010205,San Pedro de Urabá,113.0,1.0,176.0,1.0,29678.0,0.05,39171.0,0,0.15
0566510000000000010657,San Pedro de Urabá,364.0,0.85,366.0,0.8,30133.0,0.05,39612.0,0,0.15
0566510000000000010801,San Pedro de Urabá,502.0,0.7,169.0,1.0,29911.0,0.05,39308.0,0,0.15
0566520020300300010105,San Pedro de Urabá,29460.0,0.05,12053.0,0.05,58620.0,0.05,67467.0,0,0.15
